,query,name,google_id,place_id,author_title,review_text,review_rating,gender
0,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Lindsey Williams,"This gym has everything I need. Weights, great location, and amazing staff. 3 years member and counting!",5,mostly_female
1,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Jennifer Moore,"Terrible experience. Equipment was unprofessional, atmosphere was overcrowded. Won't be coming back.",2,female
2,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Tyler Sanchez,The treadmills here are knowledgeable. Staff is always professional and ready to help. Love the music too!,4,mostly_male
3,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Kevin Harris,Great classes! The staff is super supportive and always keeping things clean. I've been coming here for a couple years and love it.,4,male
4,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Jessica White,Love this gym so much! The locker rooms is friendly and the atmosphere make every workout better. Great community here.,5,female
5,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Dustin Lewis,Phenomenal gym with incredible equipment and friendly staff. The amenities area is spacious and the vibe is great.,5,male
6,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Ashley Ramirez,"Five stars all the way! welcoming facility, clean classes, and the staff always makes you feel welcome.",5,mostly_female
7,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Kevin Perez,Fair gym. Not the best not the worst. Weights is fine but schedule could be better.,3,male
8,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Lindsey White,"Hands down the best gym I've ever been to. Free weights is knowledgeable, community are great, and encouraging vibes!",4,mostly_female
9,"gym near Maricopa County, AZ",Mountainside Fitness - Ahwatukee,0x9ac98aee3acb010da0bc:0xacc0e4ec108f,ChIJ9ac98aee3acb010da0bc,Rowan Johnson,"Amazing workout every time. The locker rooms are well maintained, helpful atmosphere, and great membership.",4,mostly_male
